product,shippeddate,squareftcost,QTYTotal,VALTotal,productcode,productname,squareft,source,month,year,price,QTYScrap,VALScrap,QTYScrapDamaged,VALScrapDamaged,QTYScrapExistingCurrent,VALScrapExistingCurrent,QTYScrapOther,VALScrapOther,QTYScrapReturns,VALScrapReturns,QTYScrapStock,VALScrapStock,QTYDamage,VALDamage,QTYItemOrder,VALItemOrder,QTYKeepActive,VALKeepActive,QTYMakeInactiveObsolete,VALMakeInactiveObsolete,QTYOther,VALOther,QTYStock,VALStock
"(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen) (TPSTSFCL-2)",01jan2019,8.4,,,"TPSTSFCL-2","(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen)",13.333333,"Sealy",1,2019,,,,,,,,,,,,,,,,,,,,,,,,,
"(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen) (TPSTSFCL-2)",01feb2019,8.4,,,"TPSTSFCL-2","(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen)",13.333333,"Sealy",2,2019,,,,,,,,,,,,,,,,,,,,,,,,,
"(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen) (TPSTSFCL-2)",01mar2019,8.4,,,"TPSTSFCL-2","(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen)",13.333333,"sealy",3,2019,,,,,,,,,,,,,,,,,,,,,,,,,
"(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen) (TPSTSFCL-2)",01apr2019,8.4,,,"TPSTSFCL-2","(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen)",13.333333,"sealy",4,2019,,,,,,,,,,,,,,,,,,,,,,,,,
"(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen) (TPSTSFCL-2)",01may2019,8.4,,,"TPSTSFCL-2","(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen)",13.333333,"sealy",5,2019,,,,,,,,,,,,,,,,,,,,,,,,,
"(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen) (TPSTSFCL-2)",01jun2019,8.4,,,"TPSTSFCL-2","(Box of 150) 2018 Tempur Retail SF Catalog (Evergreen)",13.333333,"Sealy",6,2019,,,,,,,,,,,,,,,,,,,,,,,,,
"(Box of 50) 2108 Tempur Retail TP Catalog (Evergreen) (**TPSTTPCL-8**OLD**)",01sep2019,0,,,"**TPSTTPCL-8**OLD**","(Box of 50) 2108 Tempur Retail TP Catalog (Evergreen)",0,"Tempur",9,2019,,,,,,,,,,,,,,,,,,,,,,,,,
"(Box of 75) 2108 Tempur Retail TP Catalog (Evergreen) (TPSTTPCL-8)",01jan2019,16.8,,,"TPSTTPCL-8","(Box of 75) 2108 Tempur Retail TP Catalog (Evergreen)",26.666667,"Tempur",1,2019,,,,,,,,,,,,,,,,,,,,,,,,,
"(Box of 75) 2108 Tempur Retail TP Catalog (Evergreen) (TPSTTPCL-8)",01feb2019,16.8,,,"TPSTTPCL-8","(Box of 75) 2108 Tempur Retail TP Catalog (Evergreen)",26.666667,"Tempur",2,2019,,,,,,,,,,,,,,,,,,,,,,,,,
"(Box of 75) 2108 Tempur Retail TP Catalog (Evergreen) (TPSTTPCL-8)",01apr2019,8.4,,,"TPSTTPCL-8","(Box of 75) 2108 Tempur Retail TP Catalog (Evergreen)",13.333333,"Tempur",4,2019,,,,,,,,,,,,,,,,,,,,,,,,,
